canonical_smiles,pchembl_median,affinity_nm
CC(=O)N[C@@H](CO)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)CN1CCC[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(N)=O)C(C)C)C(C)C,4.42,38018.93963205612
CC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CN1CCC[C@H]1C(=O)OC(C)(C)C,7.85,14.125375446227554
CC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CCC[C@H]1C(=O)OC(C)(C)C,7.85,14.125375446227554
CC(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccc(O)cc1)CN1CCC[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(N)=O)C(C)C)C(C)C,4.89,12882.495516931349
CC(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)CN1CCC[C@@H]1C(=O)N[C@H](C(=O)N[C@H](C(N)=O)C(C)C)C(C)C,4.869999999999999,13489.62882591656
CC(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)CN1CCC[C@H]1C(=O)N[C@H](C(=O)N[C@H](C(N)=O)C(C)C)C(C)C,4.89,12882.495516931349
CC(=O)N[C@@H](CO)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CC(=O)N[C@H](C(=O)N[C@H](C(N)=O)C(C)C)C(C)C,4.41,38904.51449942805
CC(=O)N[C@@H](CO)C(=O)N[C@H]1CCCCOc2ccc(cc2)C[C@@H]([C@H](O)CN(CCC(C)C)S(=O)(=O)c2ccc(N)cc2)NC(=O)[C@H](C(C)C)NC1=O,9.47,0.33884415613920205
CC(=O)N[C@@H](CS(=O)(=O)c1ccc2ccccc2c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)Cc1ccccc1C(=O)NC(C)(C)C,9.49,0.3235936569296281
CC(=O)N[C@@H](CS(=O)(=O)c1ccc2ccccc2n1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)Cc1ccccc1C(=O)NC(C)(C)C,9.535,0.2917427014001166
CC(=O)N[C@@H](CS(=O)(=O)c1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)Cc1ccccc1C(=O)NC(C)(C)C,7.7,19.952623149688787
CC(=O)N[C@@H](CSCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)Cc1ccccc1C(=O)NC(C)(C)C,7.35,44.668359215096345
CC(=O)N[C@@H](CSc1ccc2ccccc2c1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)Cc1ccccc1C(=O)NC(C)(C)C,7.38,41.686938347033546
CC(=O)N[C@@H](CSc1ccc2ccccc2n1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)Cc1ccccc1C(=O)NC(C)(C)C,7.83,14.791083881682072
CC(=O)N[C@@H](CSc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)Cc1ccccc1C(=O)NC(C)(C)C,6.66,218.77616239495518
